Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,TIC 0.8M numax (muHz),TIC 1.2M numax (muHz),TIC 2.4M numax (muHz)
HD 217675,omi And,155030422,16,,,23 01 55.2645,+42 19 33.533,B6IV/V_sh,3.619999885559082,3.809999942779541,3.8499999046325684,0.508,0.015,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,,,
HD 218029,HD 218029,427550855,"17, 18, 24",,,23 03 32.8827,+67 12 33.153,K3III,5.230000019073486,2.499000072479248,2.325000047683716,1.8619999999999999,0.044000000000000004,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,6.8301716398851555,10.245257459827734,20.490514919655467
HD 218560,HD 218560,435446525,"17, 18, 24",,,23 07 57.2046,+64 13 21.082,K0,6.211999893188477,3.822000026702881,3.6659998893737793,0.927,0.022000000000000002,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,2.8716754744753317,4.3075132117129975,8.615026423425995
HD 219080,7 And,252756054,"16, 17",0.5260000228881836,1432.665,23 12 33.0037,+49 24 22.345,F1V,4.519999980926514,3.759999990463257,3.7699999809265137,0.648,0.008,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,746.3811884263122,1119.5717826394682,2239.1435652789364
HD 219134,HD 219134,283722336,"17, 24",,,23 13 16.9747,+57 10 06.076,K3V,5.570000171661377,3.4000000953674316,3.25,1.1059999999999999,0.006999999999999999,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,4787.263559289171,7180.895338933757,14361.790677867513
HD 219623,HD 219623,24467943,"16, 17",0.6980000138282776,2050.547,23 16 42.3028,+53 12 48.514,F8V,,4.598999977111816,4.306000232696533,0.542,0.016,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,1439.8465096488112,2159.7697644732166,4319.539528946433
HD 221345,14 And,333225860,"16, 17",,,23 31 17.4127,+39 14 10.310,G8III,,2.6080000400543213,2.3310000896453857,1.489,0.032,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,21.880523139824493,32.82078470973674,65.64156941947348
HD 221345,14 And,333225860,"16, 17",,,23 31 17.4127,+39 14 10.310,G8III,,2.6080000400543213,2.3310000896453857,1.3359999999999999,0.009000000000000001,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,21.880523139824493,32.82078470973674,65.64156941947348
HD 221345,14 And,333225860,"16, 17",,,23 31 17.4127,+39 14 10.310,G8III,,2.6080000400543213,2.3310000896453857,1.51,0.02,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,21.880523139824493,32.82078470973674,65.64156941947348
HD 222404,gam Cep,367912480,"18, 24, 25",,,23 39 20.9015,+77 37 56.505,K1III-IVCN1,,1.190000057220459,1.0379999876022339,3.302,0.028999999999999998,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,,,
