Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,TIC 0.8M numax (muHz),TIC 1.2M numax (muHz),TIC 2.4M numax (muHz)
HD 22049,eps Eri,118572803,31,,,03 32 55.8449,-09 27 29.731,K2V,3.7300000190734863,1.75,1.6699999570846558,2.126,0.013999999999999999,Di Folco et al. 2007,FLUOR,True,4641.902075264188,6962.853112896282,13925.706225792565
HD 22484,10 Tau,649766486,31,1.0,1318.913,03 36 52.1448,+00 23 58.536,F9IV-V,4.300000190734863,3.009999990463257,2.9100000858306885,1.081,0.013999999999999999,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,,,
HD 23596,HD 23596,201266092,18,0.4490000009536743,1234.114,03 48 00.3743,+40 31 50.300,F8,7.239999771118164,5.961999893188477,5.874000072479248,0.381,0.044000000000000004,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,978.9223225466467,1468.3834838199703,2936.7669676399405
HD 24398,zet Per,94367286,18,,,03 54 07.9224,+31 53 01.081,B1Ib,2.8499999046325684,2.6500000953674316,2.640000104904175,0.542,0.006999999999999999,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,,,
HD 24712,V* DO Eri,279485093,"5, 31",0.5460000038146973,1263.281,03 55 16.1314,-12 05 56.729,A9VpSrEuCr,6.0,5.314000129699707,5.26200008392334,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA,False,,,
HD 24712,V* DO Eri,279485093,31,0.5460000038146973,1263.281,03 55 16.1314,-12 05 56.729,A9VpSrEuCr,6.0,5.314000129699707,5.26200008392334,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA,True,,,
HD 25457,HD 25457,9150015,"5, 32",0.6010000109672546,2447.836,04 02 36.7451,-00 16 08.118,F7V,5.380000114440918,4.3420000076293945,4.181000232696533,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,False,1593.35786429822,2390.03679644733,4780.07359289466
HD 25457,HD 25457,9150015,32,0.6010000109672546,2447.836,04 02 36.7451,-00 16 08.118,F7V,5.380000114440918,4.3420000076293945,4.181000232696533,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,True,1593.35786429822,2390.03679644733,4780.07359289466
HD 26965,omi02 Eri,67772871,"5, 32",,,04 15 16.3197,-07 39 10.338,K0V,4.429999828338623,2.4800000190734863,2.4100000858306885,1.504,0.006,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,3697.348293754241,5546.022440631361,11092.044881262722
HD 26965,omi02 Eri,67772871,32,,,04 15 16.3197,-07 39 10.338,K0V,4.429999828338623,2.4800000190734863,2.4100000858306885,1.504,0.006,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,True,3697.348293754241,5546.022440631361,11092.044881262722
HD 29391,51 Eri,298810162,"5, 32",0.5429999828338623,1939.311,04 37 36.1323,-02 28 24.778,F0IV,5.209000110626221,4.769999980926514,4.5370001792907715,0.518,0.009000000000000001,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC,False,997.7377884903239,1496.606682735486,2993.213365470972
HD 30652,pi.03 Ori,399665349,"5, 32",1.0,1896.297,04 49 50.4109,+06 57 40.588,F6V,3.190000057220459,2.1500000953674316,2.049999952316284,1.526,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,1251.4522049104387,1877.1783073656582,3754.3566147313163
HD 31579,8 Cam,453086511,19,,,04 59 46.3283,+53 09 19.625,K3III,6.083000183105469,2.7980000972747803,2.5169999599456787,1.5930000000000002,0.008,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,2.156550783863529,3.234826175795293,6.469652351590586
HD 32518,HD 32518,310836777,19,,,05 09 36.7200,+69 38 21.855,K1III,6.420000076293945,3.992000102996826,3.9110000133514404,0.851,0.022000000000000002,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,23.669641219796468,35.5044618296947,71.0089236593894
HD 33564,HD 33564,142103211,"19, 20, 25, 26",0.996999979019165,1520.326,05 22 33.5290,+79 13 52.142,F7V,,4.201000213623047,3.9110000133514404,0.64,0.01,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,1088.5375826564964,1632.8063739847446,3265.612747969489
HD 34411,lam Aur,409104974,19,0.9990000128746033,1826.711,05 19 08.4754,+40 05 56.589,G1.5IV-VFe-1,4.710000038146973,3.3299999237060547,3.2699999809265137,0.981,0.015,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,1495.8223995630883,2243.7335993446327,4487.467198689265
HD 35468,gam Ori,365572007,"6, 32",,,05 25 07.8632,+06 20 58.931,B2V,1.6399999856948853,2.240000009536743,2.319999933242798,0.715,0.005,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,,,
HD 36395,HD 36395,50726077,"6, 32",,,05 31 27.3958,-03 40 38.021,M1.5Ve,7.9679999351501465,4.050000190734863,3.9000000953674316,0.943,0.004,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
HD 38529,HD 38529,200093173,6,1.0,419.767,05 46 34.9129,+01 10 05.512,G8III/IV,,4.380000114440918,4.210000038146973,0.573,0.049,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,315.03347749804107,472.5502162470616,945.1004324941232
HD 38678,zet Lep,317132886,"6, 32, 33",,,05 46 57.3409,-14 49 19.019,A2IV-V(n),3.5250000953674316,3.313999891281128,3.2860000133514404,0.67,0.14,"Akeson et al. 2009, ApJ, 691, 1896",FLUOR,False,,,
HD 38858,HD 38858,176521059,"6, 33",,,05 48 34.9401,-04 05 40.719,G2V,5.96999979019165,4.59499979019165,4.40500020980835,0.5720000000000001,0.009000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,2933.8803061433086,4400.820459214963,8801.640918429926
HD 45410,6 Lyn,444865362,20,,,06 30 47.1070,+58 09 45.480,K0.5IIIbFe0.5,5.855000019073486,3.825000047683716,3.7009999752044678,0.853,0.013000000000000001,White et al. 2018,PAVO,False,100.93293788337664,151.39940682506494,302.7988136501299
HD 45410,6 Lyn,444865362,20,,,06 30 47.1070,+58 09 45.480,K0.5IIIbFe0.5,5.855000019073486,3.825000047683716,3.7009999752044678,0.97,0.035,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,100.93293788337664,151.39940682506494,302.7988136501299
HD 48737,ksi Gem,372480991,"6, 33",1.0,568.65,06 45 17.3643,+12 53 44.131,F5IV-V,3.359999895095825,1.8109999895095825,2.299999952316284,1.401,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,,,
HD 49933,HD 49933,281812116,"6, 33",,,06 50 49.831,-00 32 27.18,F3V,,,,0.445,0.012,"L. Bigot, et al., Astronomy and Astrophysics, 534, L3 (2011).",VEGA,False,1135.0732141877825,1702.6098212816737,3405.2196425633474
HD 49933,HD 49933,281812116,33,,,06 50 49.831,-00 32 27.18,F3V,,,,0.445,0.012,"L. Bigot, et al., Astronomy and Astrophysics, 534, L3 (2011).",VEGA,True,1135.0732141877825,1702.6098212816737,3405.2196425633474
HD 50890,HD 50890,282893379,"6, 33",,,06 54 58.9169,-02 48 12.925,K2III,6.017000198364258,3.7170000076293945,3.6519999504089355,1.006,0.02,"E.K. Baines, et al., The Astrophysical Journal, 772, 16 (2013).",CLASSIC,False,3.5659787022010905,5.348968053301636,10.697936106603272
HD 58946,rho Gem,239137207,20,0.8019999861717224,1715.037,07 29 06.7188,+31 47 04.377,F1V,4.179999828338623,3.1600000858306885,2.9800000190734863,0.853,0.013999999999999999,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,832.5543930671993,1248.8315896007991,2497.6631792015983
HD 69830,HD 69830,307624961,7,,,08 18 23.9469,-12 37 55.810,G8:V,5.949999809265137,4.360000133514404,4.164999961853027,0.674,0.013999999999999999,"A. Tanner, et al., The Astrophysical Journal, 800, 115 (2015).",CLASSIC,False,3207.47193830759,4811.207907461385,9622.41581492277
HD 73108,pi.02 UMa,356478817,20,,,08 40 12.8204,+64 19 40.573,K1+III,4.610000133514404,1.940000057220459,1.8799999952316284,2.225,0.02,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,9.777809063382469,14.666713595073702,29.333427190147404
HD 75732,rho01 Cnc,332064670,21,,,08 52 35.8113,+28 19 50.956,K0IV-V,,4.139999866485596,4.014999866485596,0.7240000000000001,0.012,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,2802.245965804901,4203.368948707352,8406.737897414703
HD 75732,rho01 Cnc,332064670,21,,,08 52 35.8113,+28 19 50.956,K0IV-V,,4.139999866485596,4.014999866485596,0.8540000000000001,0.024,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,2802.245965804901,4203.368948707352,8406.737897414703
HD 75732,rho01 Cnc,332064670,21,,,08 52 35.8113,+28 19 50.956,K0IV-V,,4.139999866485596,4.014999866485596,0.711,0.004,"K. von Braun, et al., The Astrophysical Journal, 740, 49 (2011).",CLASSIC,False,2802.245965804901,4203.368948707352,8406.737897414703
HD 79210,HD 79210,251078595,21,,,09 14 22.7754,+52 41 11.792,K7V,,3.986999988555908,3.990000009536743,0.871,0.015,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
HD 79211,HD 79211,251078597,21,,,09 14 24.6830,+52 41 10.906,M0V,,4.043000221252441,4.139999866485596,0.856,0.016,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
HD 81937,h UMa,86336880,"20, 21",0.5260000228881836,580.841,09 31 31.7087,+63 03 42.701,F0IV,3.6700000762939453,3.0250000953674316,2.819999933242798,1.133,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,283.8990981329699,425.84864719945494,851.6972943989099
HD 82885,11 LMi,8915802,21,,,09 35 39.5018,+35 48 36.484,G8Va,5.340000152587891,3.7200000286102295,3.690000057220459,0.821,0.013000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,2628.4659981274685,3942.6989971912035,7885.397994382407
HD 86728,20 LMi,172954294,21,0.8019999861717224,2034.709,10 01 00.6567,+31 55 25.216,G3VaHdel1,,4.039999961853027,3.819999933242798,0.7709999999999999,0.012,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,1778.8209908467493,2668.231486270124,5336.462972540248
HD 89744,HD 89744,8154501,21,1.0,750.376,10 22 10.5623,+41 13 46.308,F7V,,4.53000020980835,4.453999996185303,0.556,0.032,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,False,524.3067531782253,786.460129767338,1572.920259534676
HD 90043,24 Sex,1713457,8,,,10 23 28.3693,-00 54 08.077,K0IV,6.440999984741211,4.486000061035156,4.284999847412109,0.659,0.009000000000000001,White et al. 2018,PAVO,False,109.18832339439562,163.78248509159343,327.56497018318686
HD 95418,bet UMa,141120277,21,,,11 01 50.4765,+56 22 56.733,A1IVps,2.369999885559082,2.3589999675750732,2.3499999046325684,1.149,0.013999999999999999,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,,,
HD 95608,b Leo,97487099,22,,,11 02 19.7757,+20 10 47.426,kA1VmA3V,4.3979997634887695,4.323999881744385,4.315000057220459,0.43,0.017,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,,,
HD 95735,HD 95735,166646191,22,,,11 03 20.1940,+35 58 11.568,M2+V,7.519999980926514,3.640000104904175,3.3399999141693115,1.432,0.013000000000000001,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,,,
