Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),TIC numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,Comments
HD 10697,109 Psc,456905162,17,0.9990000128746032,915.421,1117.1175308559746,01 44 55.827, +20 04 59.28,G5IV,6.27899980545044,4.677999973297119,4.60099983215332,0.485,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 10697,109 Psc,456905162,17,0.9990000128746032,915.421,1117.1175308559746,01 44 55.827, +20 04 59.28,G5IV,6.277,4.678,4.601,0.547,0.013,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,ATL estimate seems off.
HD 10700,tau Cet,419015728,"3, 30",,,5579.139711311863,01 44 04.0834,-15 56 14.926,G8V,3.5,1.7200000286102295,1.6799999475479126,2.015,0.011,Di Folco et al. 2007,FLUOR,False,Very large spread in sector 30 with doubling.
HD 10700,tau Cet,419015728,30,,,5579.139711311863,01 44 04.0834,-15 56 14.926,G8V,3.5,1.7200000286102295,1.6799999475479126,2.015,0.011,Di Folco et al. 2007,FLUOR,True,Very large spread in sector 30 with doubling.
HD 10780,HD 10780,373694425,"18, 24, 25",,,5301.511732194063,01 47 44.883, +63 51 09.07,K0V,5.630000114440918,3.880000114440918,3.839999914169312,0.763,0.021,"Boyajian et al. 2008, ApJ, 683, 424",CLASSIC,False,Nothing of note.
HD 10780,HD 10780,373694425,"18, 24, 25",,,5301.511732194063,01 47 44.883, +63 51 09.07,K0V,5.6160000000000005,4.133,4.0139999999999985,0.763,0.019,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Nothing of note.
HD 11964,HD 11964,24978373,"3, 30",1.0,766.2460000000003,961.3167800299399,01 57 09.650,-10 14 32.38,G8IV,6.414,4.637,4.4910000000000005,0.607,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Potential oscillations at 900 uHz. Large spread in both sectors 3 and 30. Potential doubling in sector 30.
HD 11964,HD 11964,24978373,"3, 30",1.0,766.2460000000003,961.3167800299399,01 57 09.650,-10 14 32.38,G8IV,6.420000076293945,4.63700008392334,4.489999771118164,0.611,0.081,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Potential oscillations at 900 uHz. Large spread in both sectors 3 and 30. Potential doubling in sector 30.
HD 11964,HD 11964,24978373,30,1.0,766.2460000000003,961.3167800299399,01 57 09.650,-10 14 32.38,G8IV,6.414,4.637,4.4910000000000005,0.607,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,True,Potential oscillations at 900 uHz. Large spread in both sectors 3 and 30. Potential doubling in sector 30.
HD 11964,HD 11964,24978373,30,1.0,766.2460000000003,961.3167800299399,01 57 09.650,-10 14 32.38,G8IV,6.420000076293945,4.63700008392334,4.489999771118164,0.611,0.081,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,True,Potential oscillations at 900 uHz. Large spread in both sectors 3 and 30. Potential doubling in sector 30.
HD 13982,8 Per,264552400,18,,,15.665475743213692,02 17 59.8874,+57 53 59.352,K3III,5.748000144958496,3.2030000686645512,2.884000062942505,1.169,0.032,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Nothing of note.
HD 16160,GJ 105 A,278962915,"4, 31",,,7047.478957762221,02 36 04.982, +06 53 14.00,K0V,5.815,3.657,3.4810000000000003,1.03,0.006999999999999999,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Large spread in sector 4. Nothing of note.
HD 16765,84 Cet,35761475,"4, 31",0.4810000061988831,2231.0170000000007,,02 41 13.981,-00 41 44.29,F7IV,5.751,4.642,4.506,0.4970000000000001,0.006999999999999999,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Potential doubling of sector 31 causing the high frequency peaks.
HD 16765,84 Cet,35761475,31,0.4810000061988831,2231.0170000000007,,02 41 13.981,-00 41 44.29,F7IV,5.751,4.642,4.506,0.4970000000000001,0.006999999999999999,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,True,Potential doubling of sector 31 causing the high frequency peaks.
HD 16895,tet Per,302158903,18,1.0,2057.354,2051.3271204118546,02 44 11.973, +49 13 42.37,F7V,4.099,2.863,2.697,1.103,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Very bad light curve.
HD 19373,iot Per,116988032,18,1.0,1658.789,1842.45500834229,03 09 03.870, +49 36 47.94,G0V,4.045,2.875,2.7230000000000003,1.246,0.008,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 19467,HD 19467,441501782,"4, 31",,,2514.7811049786146,03 07 18.5750,-13 45 42.419,G3V,7.0,5.447000026702881,5.401000022888184,0.376,0.014,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)",PAVO,False,Very large spread in sector 31. Potential double of sector 31. Nothing of note.
HD 19467,HD 19467,441501782,31,,,2514.7811049786146,03 07 18.5750,-13 45 42.419,G3V,7.0,5.447000026702881,5.401000022888184,0.376,0.014,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)",PAVO,True,Very large spread in sector 31. Potential double of sector 31. Nothing of note.
HD 19994,94 Cet,49845357,"4, 31",1.0,1033.992,1123.575849441647,03 12 46.442,-01 11 45.84,F8V,5.065,3.768,3.748,0.7609999999999999,0.011,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,ATL estimate seems off.
HD 19994,94 Cet,49845357,"4, 31",1.0,1033.992,1123.575849441647,03 12 46.442,-01 11 45.84,F8V,5.070000171661377,3.7699999809265137,3.75,0.7879999999999999,0.026,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 20367,HD 20367,101349357,18,,,2870.848103263865,03 17 40.0466,+31 07 37.358,F8V,6.39900016784668,5.117000102996826,5.039000034332275,0.408,0.109,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Slightly irregular light curve. Nothing of note.
HD 20630,kap01 Cet,343813545,"4, 31",,,4184.909909413263,03 19 21.694, +03 22 12.60,G5Vvar,4.842,3.039,2.957,0.936,0.025,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Very messy light curve with doubling in sector 31.
