Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),TIC numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,Comments
HD 216174,HD 216174,444179899,"16, 17, 24",,,9.766265777507497,22 49 46.3147,+55 54 09.990,K1III,5.439000129699707,2.9219999313354488,2.625,1.598,0.012,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Large spread in light curve. Nothing of note.
HD 217675,omi And,155030422,16,,,,23 01 55.274, +42 19 33.42,B6IIIpe,3.631,3.841,3.886,0.508,0.015,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Light curve is strange and there are many low signals.
HD 218029,HD 218029,427550855,"17, 18, 24",,,10.245257459827734,23 03 32.8827,+67 12 33.153,K3III,5.230000019073486,2.499000072479248,2.325000047683716,1.862,0.044,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Nothing of note.
HD 218560,HD 218560,435446525,"17, 18, 24",,,4.3075132117129975,23 07 57.191, +64 13 21.29,K0,6.206,3.822,3.666,0.927,0.022,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Large spread in light curve.
HD 219080,7 And,252756054,"16, 17",0.5260000228881836,1432.665,1119.5717826394682,23 12 32.992, +49 24 22.27,F0V,4.53,3.76,3.791,0.648,0.008,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Very large and irregular spread between light curve sections. ATL estimate seems off.
HD 219134,HD 219134,283722336,"17, 24",,,7180.895338933757,23 13 16.921, +57 10 05.99,K3Vvar,5.561,3.469,3.261,1.106,0.006999999999999999,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 219623,HD 219623,24467943,"16, 17",0.6980000138282776,2050.547,2159.7697644732166,23 16 42.289, +53 12 48.92,F7V,5.577000000000001,4.599,4.306,0.542,0.016,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,No comment.
HD 221345,14 And,333225860,"16, 17",,,32.82078470973674,23 31 17.426, +39 14 10.20,K0III,5.225,2.608,2.331,1.489,0.032,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Nothing of note.
HD 221345,14 And,333225860,"16, 17",,,32.82078470973674,23 31 17.426, +39 14 10.20,K0III,5.225,2.6080000400543213,2.3310000896453857,1.51,0.02,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,Nothing of note.
HD 221345,14 And,333225860,"16, 17",,,32.82078470973674,23 31 17.426, +39 14 10.20,K0III,5.225,2.6080000400543213,2.3310000896453857,1.336,0.009000000000000001,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,Nothing of note.
HD 222404,gam Cep,367912480,"18, 24, 25",,,,23 39 20.9015,+77 37 56.505,K1III-IVCN1,,1.190000057220459,1.037999987602234,3.302,0.029,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,Potential oscillations at ~200 uHz.
