Star,Main ID,TIC,Sectors,Pmix,ATL numax (muHz),TIC 0.8M numax (muHz),TIC 1.2M numax (muHz),TIC 2.4M numax (muHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument,Fast,Comments
HD 1326,V* GX And,440109725,17,,,,,,00 18 22.887, +44 01 22.65,M1.0V,8.125,4.475,4.018,1.005,0.005,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 1326,V* GX And,440109725,17,,,,,,00 18 22.887, +44 01 22.65,M1.0V,8.125,4.47599983215332,4.019999980926514,0.988,0.016,Berger et al. 2006,CLASSIC,False,Nothing of note.
HD 1326,V* GX And,440109725,17,,,,,,00 18 22.8849,+44 01 22.637,M1.0V,8.125,4.47599983215332,4.019999980926514,1.005,0.005,"A.W. Howard, et al., The Astrophysical Journal, 794, 51 (2014).",CLASSIC,False,Nothing of note.
HD 1461,HD 1461,37748347,3,,,1952.2149877650825,2928.322481647624,5856.644963295248,00 18 41.8673,-08 03 10.805,G3VFe0.5,6.460000038146973,5.040999889373778,4.8969998359680185,0.498,0.011000000000000001,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,Nothing of note.
HD 1671,rho And,288294358,17,0.962000012397766,426.098,229.9167964284613,344.87519464269195,689.7503892853839,00 21 07.262, +37 58 07.01,F5III,5.153,4.218,4.069,0.6,0.006,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Nothing of note.
HD 2774,HD 2774,202715253,17,,,14.507591265422056,21.76138689813308,43.522773796266165,00 31 41.1569,+52 50 22.297,K2III,5.5960001945495605,3.1800000667572017,2.996999979019165,1.3030000000000002,0.023,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Nothing of note.
HD 3360,zet Cas,240669906,17,,,,,,00 36 58.273, +53 53 48.69,B2IV,3.6710000000000003,4.248,4.247,0.311,0.01,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Strange light curve and a large signal at the low end.
HD 3651,54 Psc,434210589,17,,,3403.3124525550998,5104.96867883265,10209.9373576653,00 39 21.872, +21 15 02.41,K0V,5.880000114440918,4.030000209808351,3.999000072479248,0.79,0.027000000000000003,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Noisy light curve otherwise nothing of note.
HD 3651,54 Psc,434210589,17,,,3403.3124525550998,5104.96867883265,10209.9373576653,00 39 21.872, +21 15 02.41,K0V,5.875,4.064,3.9989999999999997,0.722,0.006999999999999999,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Noisy light curve otherwise nothing of note.
HD 4614,eta Cas,445258206,"17, 18, 24",1.0,2953.2009999999996,1996.1863891730854,2994.279583759629,5988.559167519257,00 49 06.223, +57 48 54.57,F9V+M0V,3.44,2.086,1.9880000000000002,1.6230000000000002,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Was in SSP project survey. Large spread and inconsistent sectors. Needs cleaning.
HD 4747,HD 4747,369395755,"3, 30",,,4014.6335459487977,6021.950318923197,12043.900637846395,00 49 26.7612,-23 12 44.865,G8/K0V,7.15500020980835,5.433000087738037,5.304999828338623,0.39,0.006,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)\",PAVO,False,Very large spread in sector 30 with doubling. Nothing of note.
HD 4747,HD 4747,369395755,30,,,4014.6335459487977,6021.950318923197,12043.900637846395,00 49 26.7612,-23 12 44.865,G8/K0V,7.15500020980835,5.433000087738037,5.304999828338623,0.39,0.006,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)\",PAVO,True,Very large spread in sector 30 with doubling. Nothing of note.
HD 5015,HD 5015,285544488,"17, 18, 24",1.0,1294.598,848.4542740478632,1272.681411071795,2545.36282214359,00 53 04.193, +61 07 26.28,F8V,4.789,3.681,3.638,0.865,0.01,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 5448,mu. And,432698066,17,,,,,,00 56 45.220, +38 29 57.81,A5V,3.8569999999999998,3.6519999999999997,3.636,0.708,0.013000000000000001,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO,False,Definitely has oscillations of some kind.
HD 6210,HD 6210,52264484,"18, 24",,,122.60700438310796,183.91050657466198,367.8210131493239,01 04 19.452, +61 34 48.76,F6V,5.835,4.794,4.445,0.52,0.006,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Nothing of note.
HD 6497,HD 6497,252183048,"17, 18",,,23.74914216034037,35.62371324051056,71.24742648102112,01 07 00.1744,+56 56 05.895,K2III-IV,6.401000022888184,3.992000102996826,3.88100004196167,0.731,0.044000000000000004,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Potential oscillations at 40 uHz.
HD 6582,mu. Cas,252191219,"17, 18",,,5574.762351002375,8362.143526503563,16724.287053007127,01 08 16.395, +54 55 13.23,G5V,5.157,3.597,3.505,0.972,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Very messy light curve. Nothing of note.
HD 6582,mu. Cas,252191219,"17, 18",,,5574.762351002375,8362.143526503563,16724.287053007127,01 08 16.395, +54 55 13.23,G5V,5.170000076293945,3.5999999046325684,3.5,0.973,0.009000000000000001,"Boyajian et al. 2008, ApJ, 683, 424",CLASSIC,False,Very messy light curve. Nothing of note.
HD 7924,HD 7924,468723402,"18, 19",,,4202.904746036989,6304.357119055483,12608.714238110966,01 21 59.1132,+76 42 37.037,K0.5V,7.166999816894531,5.230999946594238,5.1589999198913565,0.433,0.013999999999999999,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,Irregular light curve otherwise nothing of note.
HD 9826,ups And,189576919,17,1.0,1336.345,900.7726254800817,1351.1589382201228,2702.3178764402455,01 36 47.846, +41 24 20.10,F8V,4.099999904632568,2.9570000171661377,2.859999895095825,1.114,0.009000000000000001,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 9826,ups And,189576919,17,1.0,1336.345,900.7726254800817,1351.1589382201228,2702.3178764402455,01 36 47.846, +41 24 20.10,F8V,4.093,2.957,2.859,1.161,0.027000000000000003,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,ATL estimate seems off.
HD 9826,ups And,189576919,17,1.0,1336.345,900.7726254800817,1351.1589382201228,2702.3178764402455,01 36 47.846, +41 24 20.10,F8V,4.099999904632568,2.9570000171661377,2.859999895095825,1.18,0.01,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA,False,ATL estimate seems off.
HD 10476,107 Psc,113710966,17,,,3771.351073272415,5657.026609908622,11314.053219817244,01 42 29.778, +20 16 07.36,K1V,5.235,3.391,3.285,1.0,0.004,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Nothing of note.
HD 10697,109 Psc,456905162,17,0.9990000128746032,915.421,744.7450205706497,1117.1175308559746,2234.235061711949,01 44 55.827, +20 04 59.28,G5IV,6.27899980545044,4.677999973297119,4.60099983215332,0.485,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 10697,109 Psc,456905162,17,0.9990000128746032,915.421,744.7450205706497,1117.1175308559746,2234.235061711949,01 44 55.827, +20 04 59.28,G5IV,6.277,4.678,4.601,0.547,0.013000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,ATL estimate seems off.
HD 10700,tau Cet,419015728,"3, 30",,,3719.4264742079085,5579.139711311863,11158.279422623726,01 44 04.0834,-15 56 14.926,G8V,3.5,1.7200000286102295,1.6799999475479126,2.015,0.011000000000000001,Di Folco et al. 2007,FLUOR,False,Very large spread in sector 30 with doubling.
HD 10700,tau Cet,419015728,30,,,3719.4264742079085,5579.139711311863,11158.279422623726,01 44 04.0834,-15 56 14.926,G8V,3.5,1.7200000286102295,1.6799999475479126,2.015,0.011000000000000001,Di Folco et al. 2007,FLUOR,True,Very large spread in sector 30 with doubling.
HD 10780,HD 10780,373694425,"18, 24, 25",,,3534.3411547960422,5301.511732194063,10603.023464388127,01 47 44.883, +63 51 09.07,K0V,5.630000114440918,3.880000114440918,3.839999914169312,0.763,0.021,"Boyajian et al. 2008, ApJ, 683, 424",CLASSIC,False,Nothing of note.
HD 10780,HD 10780,373694425,"18, 24, 25",,,3534.3411547960422,5301.511732194063,10603.023464388127,01 47 44.883, +63 51 09.07,K0V,5.6160000000000005,4.133,4.013999999999999,0.763,0.019,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Nothing of note.
HD 11964,HD 11964,24978373,"3, 30",1.0,766.2460000000003,640.8778533532932,961.31678002994,1922.6335600598798,01 57 09.650,-10 14 32.38,G8IV,6.414,4.637,4.4910000000000005,0.607,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Potential oscillations at 900 uHz. Large spread in both sectors 3 and 30. Potential doubling in sector 30.
HD 11964,HD 11964,24978373,"3, 30",1.0,766.2460000000003,640.8778533532932,961.31678002994,1922.6335600598798,01 57 09.650,-10 14 32.38,G8IV,6.420000076293945,4.63700008392334,4.489999771118164,0.611,0.081,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Potential oscillations at 900 uHz. Large spread in both sectors 3 and 30. Potential doubling in sector 30.
HD 11964,HD 11964,24978373,30,1.0,766.2460000000003,640.8778533532932,961.31678002994,1922.6335600598798,01 57 09.650,-10 14 32.38,G8IV,6.414,4.637,4.4910000000000005,0.607,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,True,Potential oscillations at 900 uHz. Large spread in both sectors 3 and 30. Potential doubling in sector 30.
HD 11964,HD 11964,24978373,30,1.0,766.2460000000003,640.8778533532932,961.31678002994,1922.6335600598798,01 57 09.650,-10 14 32.38,G8IV,6.420000076293945,4.63700008392334,4.489999771118164,0.611,0.081,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,True,Potential oscillations at 900 uHz. Large spread in both sectors 3 and 30. Potential doubling in sector 30.
HD 13982,8 Per,264552400,18,,,10.443650495475795,15.665475743213694,31.330951486427384,02 17 59.8874,+57 53 59.352,K3III,5.748000144958496,3.2030000686645512,2.884000062942505,1.169,0.032,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Nothing of note.
HD 16160,GJ 105 A,278962915,"4, 31",,,4698.319305174814,7047.4789577622205,14094.957915524443,02 36 04.982, +06 53 14.00,K0V,5.815,3.657,3.4810000000000003,1.03,0.006999999999999999,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Large spread in sector 4. Nothing of note.
HD 16765,84 Cet,35761475,"4, 31",0.4810000061988831,2231.0170000000007,,,,02 41 13.981,-00 41 44.29,F7IV,5.751,4.6419999999999995,4.506,0.4970000000000001,0.006999999999999999,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Potential doubling of sector 31 causing the high frequency peaks.
HD 16765,84 Cet,35761475,31,0.4810000061988831,2231.0170000000007,,,,02 41 13.981,-00 41 44.29,F7IV,5.751,4.6419999999999995,4.506,0.4970000000000001,0.006999999999999999,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,True,Potential doubling of sector 31 causing the high frequency peaks.
HD 16895,tet Per,302158903,18,1.0,2057.354,1367.551413607903,2051.3271204118546,4102.654240823709,02 44 11.973, +49 13 42.37,F7V,4.099,2.863,2.697,1.103,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Very bad light curve.
HD 19373,iot Per,116988032,18,1.0,1658.789,1228.3033388948602,1842.4550083422898,3684.91001668458,03 09 03.870, +49 36 47.94,G0V,4.045,2.875,2.7230000000000003,1.246,0.008,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 19467,HD 19467,441501782,"4, 31",,,1676.5207366524098,2514.7811049786146,5029.562209957229,03 07 18.5750,-13 45 42.419,G3V,7.0,5.447000026702881,5.401000022888184,0.376,0.013999999999999999,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)",PAVO,False,Very large spread in sector 31. Potential double of sector 31. Nothing of note.
HD 19467,HD 19467,441501782,31,,,1676.5207366524098,2514.7811049786146,5029.562209957229,03 07 18.5750,-13 45 42.419,G3V,7.0,5.447000026702881,5.401000022888184,0.376,0.013999999999999999,"C. Wood, et al., The Astrophysical Journal, 873, 83 (2019)",PAVO,True,Very large spread in sector 31. Potential double of sector 31. Nothing of note.
HD 19994,94 Cet,49845357,"4, 31",1.0,1033.992,749.0505662944313,1123.575849441647,2247.151698883294,03 12 46.442,-01 11 45.84,F8V,5.065,3.7680000000000002,3.748,0.7609999999999999,0.011000000000000001,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,ATL estimate seems off.
HD 19994,94 Cet,49845357,"4, 31",1.0,1033.992,749.0505662944313,1123.575849441647,2247.151698883294,03 12 46.442,-01 11 45.84,F8V,5.070000171661377,3.7699999809265137,3.75,0.7879999999999999,0.026000000000000002,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 20367,HD 20367,101349357,18,,,1913.8987355092436,2870.8481032638647,5741.69620652773,03 17 40.0466,+31 07 37.358,F8V,6.39900016784668,5.117000102996826,5.039000034332275,0.408,0.109,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Slightly irregular light curve. Nothing of note.
HD 20630,kap01 Cet,343813545,"4, 31",,,2789.9399396088425,4184.9099094132625,8369.819818826527,03 19 21.694, +03 22 12.60,G5Vvar,4.842,3.0389999999999997,2.957,0.9359999999999999,0.025,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,Very messy light curve with doubling in sector 31.
HD 20630,kap01 Cet,343813545,31,,,2789.9399396088425,4184.9099094132625,8369.819818826527,03 19 21.694, +03 22 12.60,G5Vvar,4.842,3.0389999999999997,2.957,0.9359999999999999,0.025,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,True,Very messy light curve with doubling in sector 31.
HD 21019,HD 21019,9967949,"4, 31",1.0,719.0010000000003,506.7751747972206,760.1627621958309,1520.3255243916617,03 23 17.697,-07 47 38.57,G2V,6.215,4.579,4.417,0.606,0.015,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Very large spread in sector 4. ATL estimate seems off.
HD 22049,eps Eri,118572803,"4, 31",,,4641.902075264188,6962.853112896281,13925.706225792565,03 32 55.8449,-09 27 29.731,K2V,3.7300000190734863,1.75,1.6699999570846558,2.126,0.013999999999999999,Di Folco et al. 2007,FLUOR,False,Doubling of sector 31.
HD 22049,eps Eri,118572803,31,,,4641.902075264188,6962.853112896281,13925.706225792565,03 32 55.8449,-09 27 29.731,K2V,3.7300000190734863,1.75,1.6699999570846558,2.126,0.013999999999999999,Di Folco et al. 2007,FLUOR,True,Doubling of sector 31.
HD 22484,10 Tau,649766486,31,1.0,1318.9129999999998,,,,03 36 52.381, +00 24 05.43,F9V,4.29,2.9160000000000004,2.835,1.081,0.013999999999999999,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 23596,HD 23596,201266092,18,0.4490000009536743,1234.114,978.9223225466467,1468.3834838199705,2936.7669676399405,03 48 00.3743,+40 31 50.300,F8,7.239999771118164,5.9619998931884775,5.874000072479247,0.381,0.044000000000000004,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 24398,zet Per,94367286,18,,,,,,03 54 07.932, +31 53 01.19,B1Ib,2.872,2.6210000000000004,2.603,0.542,0.006999999999999999,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,Very irregular light curve but doesn't seem to have anything of note.
HD 24712,V* DO Eri,279485093,"5, 31",0.5460000038146973,1263.281,,,,03 55 16.1314,-12 05 56.729,A9VpSrEuCr,6.0,5.314000129699707,5.26200008392334,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA,False,Need to fix plot/lightcurve as two sectors are doubled up. Seems to have some oscillations at around the high end but might just be past the Nyquist due to the bad stitching.
HD 24712,V* DO Eri,279485093,31,0.5460000038146973,1263.281,,,,03 55 16.1314,-12 05 56.729,A9VpSrEuCr,6.0,5.314000129699707,5.26200008392334,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA,True,Need to fix plot/lightcurve as two sectors are doubled up. Seems to have some oscillations at around the high end but might just be past the Nyquist due to the bad stitching.
HD 25457,HD 25457,9150015,"5, 32",0.6010000109672546,2447.8360000000002,1593.35786429822,2390.03679644733,4780.07359289466,04 02 36.7451,-00 16 08.118,F7V,5.380000114440918,4.3420000076293945,4.181000232696533,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,False,ATL estimate seems off.
HD 25457,HD 25457,9150015,32,0.6010000109672546,2447.8360000000002,1593.35786429822,2390.03679644733,4780.07359289466,04 02 36.7451,-00 16 08.118,F7V,5.380000114440918,4.3420000076293945,4.181000232696533,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC,True,ATL estimate seems off.
HD 26965,omi02 Eri,67772871,"5, 32",,,3697.348293754241,5546.022440631361,11092.044881262722,04 15 16.320,-07 39 10.34,K1V,4.419,2.594,2.498,1.504,0.006,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 26965,omi02 Eri,67772871,32,,,3697.348293754241,5546.022440631361,11092.044881262722,04 15 16.320,-07 39 10.34,K1V,4.419,2.594,2.498,1.504,0.006,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,True,Nothing of note.
HD 29391,51 Eri,298810162,"5, 32",0.5429999828338623,1939.3110000000001,997.7377884903239,1496.6066827354862,2993.213365470972,04 37 36.1323,-02 28 24.778,F0IV,5.209000110626222,4.769999980926514,4.5370001792907715,0.518,0.009000000000000001,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC,False,Very large spread in light curve. ATL estimate seems off.
HD 30652,pi.03 Ori,399665349,"5, 32",1.0,1896.297,1251.4522049104387,1877.1783073656586,3754.3566147313163,04 49 50.403, +06 57 40.93,F6V,3.1830000000000003,1.757,1.6,1.526,0.004,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 31579,8 Cam,453086511,19,,,2.156550783863529,3.234826175795293,6.469652351590586,04 59 46.3283,+53 09 19.625,K3III,6.083000183105469,2.7980000972747803,2.5169999599456787,1.5930000000000002,0.008,"E. Baines et al., Astronomical Journal, 152, 66 (2016).",CLASSIC,False,Nothing of note.
HD 32518,HD 32518,310836777,19,,,23.669641219796468,35.504461829694705,71.0089236593894,05 09 36.7200,+69 38 21.855,K1III,6.420000076293945,3.992000102996826,3.91100001335144,0.851,0.022000000000000002,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Nothing of note.
HD 33564,HD 33564,142103211,"19, 20, 25, 26",0.996999979019165,1520.326,1088.5375826564964,1632.8063739847446,3265.612747969489,05 22 33.5290,+79 13 52.142,F7V,,4.201000213623047,3.91100001335144,0.64,0.01,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC,False,ATL estimate seems off.
HD 34411,lam Aur,409104974,19,0.9990000128746032,1826.711,1495.8223995630883,2243.7335993446327,4487.467198689265,05 19 08.481, +40 05 56.59,G0V,4.684,3.154,3.0380000000000003,0.981,0.015,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 35468,gam Ori,365572007,"6, 32",,,,,,05 25 07.863, +06 20 58.95,B2III,1.643,2.3569999999999998,2.375,0.715,0.005,"Challouf et al. 2014, A&A, 570, A104",VEGA,False,Somewhat irregular light curve but otherwise nothing of note.
HD 36395,HD 36395,50726077,"6, 32",,,,,,05 31 27.396,-03 40 38.02,M1.5V,7.968,4.05,3.9,0.943,0.004,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 38529,HD 38529,200093173,6,1.0,419.767,315.03347749804107,472.5502162470616,945.1004324941232,05 46 34.9129,+01 10 05.512,G8III/IV,,4.380000114440918,4.2100000381469735,0.573,0.049,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,ATL estimate seems off.
HD 38678,zet Lep,317132886,"6, 32",,,,,,05 46 57.3409,-14 49 19.019,A2IV-V(n),3.5250000953674316,3.313999891281128,3.2860000133514404,0.67,0.14,"Akeson et al. 2009, ApJ, 691, 1896",FLUOR,False,Incredibly strange light curve. Should ask Tim.
HD 38858,HD 38858,176521059,6,,,2933.8803061433086,4400.820459214963,8801.640918429926,05 48 34.950,-04 05 40.42,G4V,6.193,4.595,4.405,0.5720000000000001,0.009000000000000001,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC,False,Nothing of note.
HD 45410,6 Lyn,444865362,20,,,100.93293788337664,151.39940682506494,302.7988136501299,06 30 47.1070,+58 09 45.480,K0.5IIIbFe0.5,5.855000019073486,3.825000047683716,3.700999975204468,0.97,0.035,"Baines, et al., The Astrophysical Journal, 701, 154 (2009)",CLASSIC,False,Potential oscillations around 100-250 uHz.
HD 45410,6 Lyn,444865362,20,,,100.93293788337664,151.39940682506494,302.7988136501299,06 30 47.1070,+58 09 45.480,K0.5IIIbFe0.5,5.855000019073486,3.825000047683716,3.700999975204468,0.853,0.013000000000000001,White et al. 2018,PAVO,False,Potential oscillations around 100-250 uHz.
HD 48737,ksi Gem,372480991,6,1.0,568.65,,,,06 45 17.373, +12 53 43.90,F5IV,3.3360000000000003,1.811,1.6880000000000002,1.401,0.009000000000000001,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 49933,HD 49933,281812116,6,,,1135.0732141877825,1702.6098212816735,3405.2196425633474,06 50 49.831,-00 32 27.18,F3V,,,,0.445,0.012,"L. Bigot, et al., Astronomy and Astrophysics, 534, L3 (2011).",VEGA,False,Was in SSP project survey. Nothing of note.
HD 50890,HD 50890,282893379,6,,,3.5659787022010905,5.348968053301636,10.697936106603272,06 54 58.9169,-02 48 12.925,K2III,6.017000198364258,3.7170000076293945,3.651999950408936,1.006,0.02,"E.K. Baines, et al., The Astrophysical Journal, 772, 16 (2013).",CLASSIC,False,Nothing of note.
HD 58946,rho Gem,239137207,20,0.8019999861717224,1715.037,832.5543930671993,1248.8315896007994,2497.6631792015983,07 29 06.712, +31 47 04.36,F0V,4.169,3.156,2.978,0.853,0.013999999999999999,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC,False,ATL estimate seems off.
HD 69830,HD 69830,307624961,7,,,3207.47193830759,4811.207907461385,9622.41581492277,08 18 23.9469,-12 37 55.810,G8:V,5.949999809265138,4.360000133514403,4.1649999618530265,0.674,0.013999999999999999,"A. Tanner, et al., The Astrophysical Journal, 800, 115 (2015).",CLASSIC,False,Nothing of note.
HD 73108,pi.02 UMa,356478817,20,,,9.777809063382469,14.666713595073702,29.333427190147404,08 40 12.8204,+64 19 40.573,K1+III,4.610000133514403,1.940000057220459,1.8799999952316284,2.225,0.02,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC,False,Nothing of note.
HD 75732,rho01 Cnc,332064670,21,,,2802.245965804901,4203.3689487073525,8406.737897414703,08 52 35.794, +28 19 50.96,G8V,5.942,4.265,4.015,0.7240000000000001,0.012,"Ligi et al. 2016, A&A, 586, A94",VEGA,False,Many peaks probably are from exoplanet transits. Should check with Tim in case there are some oscillations.
HD 75732,rho01 Cnc,332064670,21,,,2802.245965804901,4203.3689487073525,8406.737897414703,08 52 35.794, +28 19 50.96,G8V,,4.139999866485597,4.014999866485597,0.8540000000000001,0.024,"Baines et al. 2008, ApJ, 680, 728",CLASSIC,False,Many peaks probably are from exoplanet transits. Should check with Tim in case there are some oscillations.
HD 75732,rho01 Cnc,332064670,21,,,2802.245965804901,4203.3689487073525,8406.737897414703,08 52 35.794, +28 19 50.96,G8V,,4.139999866485597,4.014999866485597,0.711,0.004,"K. von Braun, et al., The Astrophysical Journal, 740, 49 (2011).",CLASSIC,False,Many peaks probably are from exoplanet transits. Should check with Tim in case there are some oscillations.
HD 79210,HD 79210,251078595,21,,,,,,09 14 22.982, +52 41 12.53,M0V,7.631,3.987,3.988,0.871,0.015,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Nothing of note.
HD 79211,HD 79211,251078597,21,,,,,,09 14 24.856, +52 41 11.84,M0V,7.7010000000000005,4.043,4.136,0.856,0.016,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC,False,Very strange descending light curve.
