Star,TIC,Sectors,Pmix,numax (microHz),RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 19994,49845357,"4, 31",1.0,1033.992,,,,,,,0.7879999999999999,0.026,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 23596,201266092,18,0.4490000009536743,1234.114,,,,,,,0.381,0.044,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 38529,200093173,6,1.0,419.767,,,,,,,0.573,0.049,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 117176,95473936,23,1.0,929.397,,,,,,,1.009,0.024,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 120136,72506701,23,1.0,1578.308,,,,,,,0.7859999999999999,0.016,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 143761,458494003,"24, 25",0.7860000133514404,1976.516,,,,,,,0.6859999999999999,0.044,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 186427,27533327,"14, 15",0.6940000057220459,2053.002,,,,,,,0.426,0.056,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 190228,117905020,14,1.0,545.1,,,,,,,0.453,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 203,229012143,"2, 29",0.5830000042915344,1783.689,,,,,,,0.4920000000000001,0.032,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC
HD 29391,298810162,5,0.5429999828338623,1939.311,,,,,,,0.518,0.009000000000000001,"M. Simon and G.H. Schaefer, The Astrophysical Journal, 743, 158 (2011).",CLASSIC
HD 9826,189576919,17,1.0,1336.345,,,,,,,1.18,0.01,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA
HD 185395,27014182,"14, 15",1.0,1713.701,,,,,,,0.76,0.003,"R. Ligi, et al., Astronomy and Astrophysics, 545, 5 (2012).",VEGA
HD 115617,422478973,10,0.4009999930858612,3047.512,,,,,,,1.073,0.005,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 143761,458494003,"24, 25",0.7860000133514404,1976.516,,,,,,,0.735,0.014,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 33564,142103211,"19, 20, 25, 26",0.996999979019165,1520.326,,,,,,,0.64,0.01,"K. von Braun, et al., Monthly Notices of the Royal Astronomical Society, 438, 2413 (2014).",CLASSIC
HD 117176,95473936,23,1.0,929.397,,,,,,,0.998,0.005,"S. R. Kane, et al., The Astrophysical Journal, 806, 60 (2015).",CLASSIC
HD 24712,279485093,"5, 31, 31",0.5460000038146973,1263.281,,,,,,,0.335,0.009000000000000001,"K. Perraut, et al., Astronomy & Astrophysics, 590, A117 (2016).",VEGA
GJ 159,9150015,5,0.6010000109672546,2447.836,,,,,,,0.5820000000000001,0.016,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC
HD 89744,8154501,21,1.0,750.376,,,,,,,0.556,0.032,"G. Schaefer, et al., Astrophysical Journal, 858, 71 (2018).",CLASSIC
GJ 504,397587084,23,0.9810000061988831,1761.967,,,,,,,0.71,0.02,"M. Bonnefoy, et al., Astronomy and Astrophysics, 618, 63 (2018).",VEGA
HD 113337,142350121,"14, 15, 21, 22",0.8309999704360962,1538.403,,,,,,,0.386,0.009000000000000001,"S. Borgniet, et al., accepted by Astronomy and Astrophysics (2019).",VEGA
