HD,SpType
120311,A5/8 (V)        
120312,K1/2 III        
120313,B9.5 V          
120318,F3 IV/V           
120319,K4/5 III          
120320,F3 V              
120321,F5 V              
120322,A2 V              
120323,M5 III            
120324,B2 IV/VNE        
120325,K1 III           
120326,F0 V             
120327,A1 V             
120328,K0 III           
120329,G3/5 V          
120330,B2/3 VNNE       
120331,B9 IV/V         
120332,M2 (III)        
120333,A0/1 (V)        
120336,A9 V              
120337,F6 V              
120338,K0 III            
120339,A3MA7-F0          
120340,A1 V              
120341,K0 III           
120342,K1/2 III        
120343,B8 IV           
120344,G3 V            
120345,B9.5 V          
120346,AP SRCR(EU)     
120347,A0 V            
120352,G8 V              
120353,F5                
120354,G8 IV             
120355,K1/2 II/III       
120356,K2               
120357,B3/7             
120358,G8 III           
120359,A6 III          
120360,K3 III          
120361,A7/F0           
120362,G5 V            
120366,F3/5 V            
120367,F3/5 V            
120368,G8/K0 V           
120369,M4 III            
120370,F2 V              
120371,A1 III/IV       
120372,A0/2 III        
120373,B9 III          
120374,B9              
120375,F0/2 III/IV     
120376,B4 IV/V         
120377,AP SI           
120384,F0/2 V            
120385,K0 III            
120386,K5 III            
120387,G8 III/IV         
120388,G3/5 V            
120389,K4/5 III          
120390,F5 V              
120391,G6/8 V            
120392,G0 V              
120393,F3 V              
120394,A3 IV            
120395,G0 V             
120396,F0 IV            
120397,B9.5 V           
120398,A1 IV           
120399,A8 V            
120400,F8 IB/II        
120401,A2 IV           
120402,B6/8            
120403,B9 II           
120404,K5/M0 III       
120407,F3 V              
120408,G8 III            
120409,FM DELTA DEL      
120410,G3 V             
120411,G1 V             
120412,M2 (III)         
120413,G6 III           
120414,G8 III           
120415,G8/K0 (III)     
120416,B9 V            
120417,B9 IVN          
120418,B9 IV           
120423,F5 V              
120424,K0 III            
120425,M1 III            
120426,A5/7 + G/K        
120427,K1/2 III          
120428,F5/6 IV           
120429,K3 III           
120430,A0 V + K1 III    
120431,B9 V            
120432,F8/G0 IB/II     
120433,A2/3 V          
120438,F5 V              
120439,F2 V              
120440,K1 III            
120441,K1 III            
120442,G5               
120443,A8/9 V           
120444,F2 IV           
120445,K1/2 (III)      
120449,F3/5  IV/V        
120450,M2/3 III          
120451,M1 III            
120452,K0 III            
120453,G3 V              
120454,K1/2 (III)        
120455,A0 V              
120456,G0 V              
120457,K1 III            
120458,B3 IV/V         
120459,A2 IV/V         
120460,M5/7 (III)      
120465,K0                
120466,K0 V              
120467,K4/5 V            
120468,F8/G0 V           
120469,K5 III            
120470,K2 (III)          
120471,B9 III/IV       
120472,B9 V            
120473,B2 III          
120474,B8              
120478,G1 V              
120479,F6/7              
120480,F2/3 V            
120481,F5 V              
120482,F5 V              
120483,A9 V              
120484,A5/7 III          
120485,K0 III            
120486,A0 V              
120487,A8 V             
120488,G8 III           
120489,PLANETARY        
120490,M0 III           
120491,K3 V            
120492,A0              
120493,B9 IV/V         
120494,M4 (II)         
120495,A2 IV           
120496,A3MA4-A6        
120497,G8 III          
120498,B9/A0 V         
120501,A9/F0 V           
120502,K1 IIICNII        
120503,G8                
120504,G6 V              
120505,A0 V             
120506,G8/K0 III        
120507,A0 V            
120508,A2 V            
120512,F5 V              
120513,G8 IV/V           
120514,G0 V              
120515,F0 V              
120516,K4 III            
120517,F0 V              
120518,G1/2 V            
120519,G6 IV            
120520,K1 III          
120521,O8              
120522,B9 IV           
120523,A1/3 V          
120524,B9/A0 V         
120525,B8 III          
120526,B9 III(N)       
120527,A0 IB/II(E)     
120532,K0 III            
120533,F6 V              
120534,A5 V + (F)        
120535,B2 (III)        
120536,B8/9 II/III     
120537,G3/5 IB/II      
120538,K0 III          
120543,M1 III            
120544,F6 IV/V           
120545,F6 V              
120546,G8 III            
120547,F3 V              
120548,F3/5 V            
120549,G8 III           
120550,K1 III           
120551,A1 V            
120552,A0/1 V          
120554,F3 V              
120555,K2 III            
120556,F2/3 V            
120557,G6 V              
120558,K1 IIICNII        
120559,G5WF8 V         
120560,B8/9 II         
120561,F7/G0           
120562,F2 IV           
120563,F6 V            
120564,A1 V(N)         
120570,F0 V              
120571,K0 II             
120572,K3 III            
120573,F2 V              
120574,F5 III/IV        
120575,F0 V             
120576,B8 V            
120577,B8 III          
120578,B5 II           
120579,A3 IV/V         
120583,G8/K0             
120584,K4 III            
120585,G8 IV             
120586,A8/9 (III)        
120587,G6/8              
120588,G8 III/IV         
120589,K3 III            
120590,K0 III            
120591,A1 V             
120592,G6 (III)         
120593,F5 V             
120594,G5/6 V          
120595,B3 V            
120596,M0/1            
120597,F6/7 V          
120598,B8 III          
120599,F7/G2           
120603,M0/1              
120604,A7 IV             
120605,A8/9 V            
120606,G3 V              
120607,M3 III            
120608,G1 V              
120609,K2 V              
120610,F0 V             
120611,A9 V             
120612,B9/A0 V         
120613,B8/9 III        
120614,B9              
120615,A3 V + F8/G2 III
120616,A3MA6-A7        
120619,K1/2 III          
120620,K0 (III)          
120621,F5 V              
120622,M1 III            
120623,F0/2 IV           
120624,G8 V              
120625,G8/K0 (III)       
120626,G8/K0 III         
120627,F3/5 V            
120628,K0 III            
120629,K2/3 III          
120630,G6 III           
120631,F5 V            
120632,F5              
120633,K2              
120634,B2 (III)        
120635,F0/2 (V)        
120637,K1 III            
120638,K0 III            
120639,F3/5 V           
120640,B2 III           
120641,B8 V             
120642,B8 V             
120643,A9 V            
120644,F0 V            
120645,K2/3            
120646,G8/K0           
120647,G1/3 III        
120652,G1 V              
120653,K0 III            
120654,K3 III            
120655,F3 IV             
120656,A9/F0 V           
120657,A5/7 V            
120658,K0 III            
120659,G8 III/IV        
120660,A0 V            
120661,A0 III          
120662,K0              
120663,K1 II/III       
120667,G6/8              
120668,K1 III            
120669,K0/1 III          
120670,M2/3 III          
120671,F5 V              
120672,F6 V              
120673,F0 V             
120674,K3 III           
120675,K0/1 III + A2/3  
120676,K2 IIICNIB       
120677,B8 II           
120678,O/BE            
120679,A0 V            
120680,B2 II           
120681,A0 V            
120685,A9 V              
120686,G8/K0             
120687,A0 V              
120688,G5/6 (V)          
120689,F2 IV/V           
120690,G5 V              
120691,F7/8 V            
120692,F3 V              
120693,A7 IV             
120694,G6 III           
120695,F0 III           
120696,A5/7 IV/V       
120697,B8/9 III        
120698,B8 IV/V         
120699,K0 III          
120700,A5/7 V          
120704,G8 III            
120705,K1 (III)          
120706,K0 III            
120707,A9 V              
120708,F3 V              
120709,B4 III            
120710,B9 V              
120711,A1MA7-F0         
120712,F0 V             
120713,K4/5 III         
120714,K1/2 (III)      
120715,A9 V            
120716,B8/9 IV/V       
120717,B9 IV/V         
120718,B8              
120719,A2 III/IV       
120721,K5                
120722,A5/7 II/III       
120723,G8 V              
120724,G8/K1             
120725,G8 IV             
120726,K0/1 (III)        
120727,A2MA5-F0          
120728,F2 V              
120729,K0 III            
120730,G8 V              
120731,G2 V              
120732,K1 III            
120733,A1 V              
120734,F7/G0             
120735,M1 III           
120736,K0 III           
120737,K0 III + F/G     
120738,B9 IV           
120739,B3 III          
120740,B9              
120741,K1 III          
120742,G5 IV/V         
120743,B8 IV           
120744,K2 V            
120745,F5 V              
120746,F7 V              
120747,F3/5 V            
120748,A1/2 (III)      
120749,B9              
120750,B8/9 II         
120754,F3 V              
120755,G8 IV             
120756,G8/K0 III         
120757,F5/6 V            
120758,A9 V              
120759,F5/6 V            
120760,B9/A1 V          
120761,F5 V             
120762,G8/K1            
120763,A9 V             
120764,F5 V            
120765,A0              
120766,B8/9 III        
120767,F               
120768,F               
120769,K3 III          
120774,G8 IV             
120775,G2/3 V            
120776,K1 III            
120777,A2MF0-F0          
120778,F5 V              
120779,K1 (III)          
120780,K3 V             
120781,A5 IV            
120782,G5 V             
120783,K4/5 (III)      
120784,B9 III          
120785,F0 V            
120786,B8/9 III        
120790,G0 V              
120791,K0 V              
120792,G8/K0 IV/V        
120793,F5/7 V            
120794,F0/2 (V)          
120795,F6/7 V          
120796,A1 V            
120797,F7 V            
120798,B9 IV/V         
120799,B2 III          
120800,PLANETARY       
120801,B8 III/IV       
120805,G5/6              
120806,M4/5 Vp           
120807,A3 IV             
120808,A8/9 V            
120809,M0 III            
120810,F8/G0 V          
120811,F7 V             
120812,F8/G0 V          
120813,B9 III/IV       
120814,A7/F0           
120821,G6/8 (III)        
120822,K0/1 (III)        
120823,A1 IV             
120824,K3/4 (III)        
120825,F7 V              
120826,A9 IV             
120827,B9 V            
120832,M2/3 III          
120833,K1 III            
120834,K2 III           
120835,F5 IV/V          
120836,A8 V             
120837,K0 III           
120838,B8/9 IV/V       
120839,B8/9 III/IV     
120840,B6/8 III/IV     
120841,B8/9 III/IV     
120842,K4/M0           
120843,A8/9 (III)      
120844,F6 V            
120845,B5 V            
120846,K0 III          
120849,F3 V              
120850,F0 V              
120851,K0 III/IV         
120852,K1 III            
120853,G3/5 V            
120854,F2 V              
120855,K2 III            
120856,G6 V              
120857,K1 III           
120858,K2 III           
120859,B9 V            
120860,F3/5 V          
120861,F2 V            
120862,B4 III          
120863,A7 V            
120866,G8/K0 (III)       
120867,B9.5 V            
120868,F6 V              
120869,F2 V             
120870,G3 V             
120871,K3 (III)        
120872,B9 V            
120873,A1 VN           
120878,K3/4              
120879,F5 V              
120880,G8 III            
120881,F8/G1 (V)         
120882,G1/3 V            
120883,G0                
120884,A9 V              
120885,G8 III           
120886,A0 V             
120887,K2/3 (III)      
120888,A0 V            
120889,B7/8 IV         
120890,G0 V            
120891,B9 V            
120892,B8 V            
120897,F6 V              
120898,K2 III            
120899,G8 IV/V           
120900,G3/5 V            
120901,K0 III            
120902,A1 V              
120903,F7 V              
120904,K1/2 (III)        
120905,A2 II/III         
120906,F6 V             
120907,A1 V             
120908,B4 III           
120909,B8 II           
120910,F5/8            
120911,A5/7 (III)      
120912,A5/7 (III)      
120913,K2 III          
120914,A4 IV/V         
120918,G3 V              
120919,F6 V              
120920,K1 III            
120921,K1/2 III          
120922,G0                
120923,A9/F0 V           
120924,A0 V              
120925,K2 III           
120926,K1 III           
120927,F3/5            
120928,B1/3 (III)      
120929,A5/7 (V)        
120930,G5 III          
120936,F3 V              
120937,F5/8              
120938,G6 V              
120939,F6/8 V            
120940,G1 V              
120941,B9 V              
120942,A7 V              
120943,K3/4 III         
120944,K3/4 III         
120945,G8/K0 (III)     
120946,G3 (III)        
120947,A3/5 V          
120948,B3 V            
120949,K2 III          
120952,G5 V(w)           
120953,G8 IV             
120954,G1 V              
120955,B4 IV             
120956,A7 IV             
120957,K1 III/IV         
120958,B3 VNNE           
120959,A2/3 IV           
120960,A8/9 IV          
120961,M4 III           
120962,K0 III           
120963,A7/8 V          
120964,K0 III          
120967,K0 III            
120968,F0 IV/V           
120969,K0 III/IV         
120970,A5/7 III/IV       
120971,G8 III            
120972,K1 III            
120973,K2 III            
120974,A4 III/IV         
120975,A3/4 III(M)      
120976,B9 III          
120977,AP SI           
120978,A8/F0 (V)       
120979,B9 III          
120981,G2/3 V            
120982,F5 V              
120983,F6/8 V            
120984,F3 V              
120985,F3 V              
120986,F6 V              
120987,F3 V              
120988,K0 III            
120989,K0 IV/V          
120990,A9 V             
120991,B2 IINE          
120992,G8 IIICNII       
120993,B8 III          
120994,K0/2 (III)      
120995,A5 IV/V         
120998,K3 III            
120999,F6 V              
121000,F0 V              
121001,G1 V              
121002,K2 III            
121003,A0/1 V            
121004,G2 V             
121005,A0 V             
121006,B9               
121007,B9.5 V           
121008,A7 V             
121009,G8/K0 III       
121010,B9/A0 IV/V      
121011,G8 III          
121012,F5 V            
121013,K1/2 III        
121014,G6 III/IV       
121017,G3 V              
121018,M3 III            
121019,F6 V              
121020,G2 IV            
121021,F2/3 V          
121022,M0 (III)        
121023,A8 IV/V         
121024,G8/K0           
121025,A1/2 V          
121026,F5/6 V          
121027,F3 V            
121030,F5 V              
121031,M0/2              
121032,F5 V              
121033,F7 V              
121034,F3 V              
121035,A9 V              
121036,F2 V              
121037,F5/6 V           
121038,F2 IV/V          
121039,K0 III          
121040,A9 V            
121041,K4 (III)        
121042,K0/1 (III)      
121043,F8/G3           
121044,B9/A0 V         
121045,B8/9 V(N)       
121050,G8 V              
121051,G1 V              
121052,K1 III            
121053,A7 IV             
121054,K3 III            
121055,G8 III            
121056,K0 III            
121057,A4 V             
121058,A1 V             
121059,G5 III           
121060,K2 (III)         
121061,A               
121062,A5/7 V          
121064,G3 V              
121065,A5/7 IV           
121066,F5 V              
121067,A3MA5-F0         
121068,F3 V             
121069,G8 III           
121070,A1 V            
121071,A0 V            
121072,B8/9 V          
121073,A8 V            
121074,B8/9 III        
121076,K1/2 (III)        
121077,G8 V              
121078,K0                
121079,K0 III/IV         
121080,G3 V              
121081,B9.5(P SI)        
121082,G8/K0 III         
121083,F2 V              
121084,A2 IV             
121085,G2 V              
121086,K1 III            
121087,K5 III            
121088,K0/1 III         
121089,K0 III           
121090,F0 IV            
121091,F3 V             
121092,F3/5 (IV)        
121093,F3 III           
121094,A3 V             
121095,G8/K1 (III)      
121096,A2MA9-F0        
121097,K0 III          
121098,B8 II           
121099,A3/5 V          
121100,F5/8            
121101,K1 III          
121102,F5 V            
121103,F6 V            
121110,F5/6 V            
121111,F7/8  V           
121112,F2/3 V            
121113,K0 III            
121114,F2 V              
121115,F3/5 V + F/G      
121116,F3 V             
121117,A3 V             
121118,B8/9 IV/V        
121119,K5/M0 III        
121120,B9 V             
121121,F0/2 V          
121122,M0/1 III        
121123,A1 IV           
121124,K2 III          
121125,K0/1 III        
121126,B8 V            
121127,B9 IV           
121134,F0 V              
121135,G0/2              
121136,F0/2 V            
121137,F3 V              
121138,K0 III            
121139,F0 V              
121140,A3MA4-A9          
121141,F3 V             
121142,B9 IV/V(P SI)   
121143,G5/8            
121144,A2 III/IV       
121145,F8/G0 (III)     
121151,G6/8 V            
121152,F7/G0             
121153,K1 III            
121154,K0/1 III          
121155,A8 V              
121156,K2 III            
121157,K2/3 III          
121158,B9 V              
121159,G8 IV            
121160,B7/8 III        
121161,B9.5 V          
121162,K0 III          
121166,G6 IV             
121167,G0 V              
121168,G8 V              
121169,F7 V              
121170,G0 V              
121171,F7/8 V            
121172,K1 III            
121173,M3 III            
121174,F3 V             
121175,G5 III/IV        
121176,F8 V             
121177,B8/9 II         
121178,A               
121179,G8/K1 (III)     
121180,A2              
121181,A0              
121182,B9/A0           
121185,K2 III            
121186,F0 V              
121187,F5 V              
121188,K0 (III)         
121189,F3 V             
121190,B9 V             
121191,A5 IV/V         
121192,F0 IV           
121193,B8/9 (II)       
121194,WR              
121195,B8 IV(N)        
121200,K1 (III)          
121201,K3/4 II           
121202,K0 III            
121203,G0                
121204,G8 (III)          
121205,G5 V              
121206,G8 III            
121207,F3/6             
121208,A9 V            
121209,B9.5 III/IV     
121210,B9 V            
121216,F7/8 V            
121217,K0 III            
121218,F7 V              
121219,K1/2 III          
121220,F8/G1 V           
121221,K3 III            
121222,K0 III            
121223,G8/K0 III         
121224,F5 V             
121225,B9.5 V           
121226,A1 V             
121227,K2 (III)        
121228,B1 IB           
121229,B9.5/A0 V       
121230,A3 V            
121233,G0                
121234,F7/8 V            
121235,F2 V              
121236,M1/2 III          
121237,G0 V              
121238,A6 III            
121239,A1 V             
121240,K1 IIICNII       
121241,A2 IV            
121242,M1/2 (III)      
121243,A0/2            
121244,B9/A0 V         
121245,A0 V            
121250,F3 V              
121251,K1 III           
121252,F3 V             
121253,F5 V            
121254,F5 II           
121255,A2 IV           
121257,K4 III            
121258,G5                
121259,G8 (III)          
121260,K4 III            
121261,G2/3 II           
121262,F0 V             
121263,B2.5 IV          
121264,A8/F2            
121265,AP SI            
121266,A1 IV            
121267,B9.5 III        
121270,F5 V              
121271,K5/M0 V           
121272,A9 V              
121273,F0 V              
121274,G0/1 V           
121275,K1/2 (III)       
121276,AP SICR(PEC)     
121277,K0 VCNIII/IV     
121278,F6/7 (V)        
121279,A1 III/IV       
121280,K0 III          
121281,M1 III          
121282,F0/2 V            
121283,G5                
121284,F5 V              
121285,K0 IV             
121286,F6 V              
121287,K1/2 III + F/G    
121288,K1 III           
121289,K0 III           
121290,A1/2MA9-A9       
121291,A0 VN + K2 (III) 
121292,B8 V             
121293,G8 III           
121294,K2/3 (III)       
121295,G8/K0 (III)     
121296,F7 V            
121299,K1/2 II/III       
121300,B8 II             
121301,G5 V              
121302,K0 III            
121303,G6/8 III (+ F)    
121304,K0 IIICNVP        
121305,G8 III/IV         
121306,B7 II             
121307,A8/9 V           
121308,A4 V             
121309,K2/3 III        
121310,B8 II/III       
121311,F8/G0 V         
121312,B8/9 III/IV     
121313,F6/7 V          
121314,A1 V            
121315,B4 III          
121316,A3 V            
121317,K3 III          
121322,F7/8 V            
121323,G8/K0 V           
121324,K3 III            
121325,F7/8  V           
121326,K2/3 (III)        
121327,K0/1              
121328,A3 V              
121329,F6/7 V            
121330,F2/3 V            
121331,M5 III            
121332,G0/1 V            
121333,M1/2 III         
121334,G8 IV            
121335,F7 IV/V          
121336,A1 V            
121337,B9/A0 (IV)      
121338,B9 II/III       
121339,K1/3 (III)      
121340,F6 V            
121341,B8/9 V          
121342,A1 IV/V         
121346,G3/5 V            
121347,K4 III            
121348,K5 III            
121349,F8/G0 V           
121350,F7 V              
121351,F8                
121352,A2/3MF0-F2        
121353,F2/3 V            
121354,K0 III            
121355,K0 III            
121356,F6 V              
121357,F0 V             
121358,A2 IV/V          
121359,K1 III           
121360,A0 V             
121361,F7/8 V          
121362,A1/2 V          
121363,A3 III/IV       
121364,A6/9            
121365,K4 III          
121373,K3 III            
121374,G2/3 V            
121375,K0 III            
121376,K0 IV             
121377,F3 V              
121378,F5/7 V            
121379,K0 III/IV         
121380,F5 V              
121381,K1 III            
121382,K1 III           
121383,M0/1 (III)       
121384,G6 IV/V         
121385,A1 IV/V         
121386,F3/5 V          
121387,F5WA9 (V)       
121391,G8/K0             
121392,K0/1              
121393,G1 V              
121394,F5 V              
121395,G8/K1 (III)       
121396,F3 V              
121397,G6/8 III          
121398,A9 V              
121399,A0 IV/V + F/G     
121400,A4 IV            
121401,G8/K0 III        
121402,A5 III           
121403,K0               
121404,B8 V            
121405,B8 II           
121406,M0 (III)        
121407,F5 V            
121412,M2 (III)          
121413,F5/6 V            
121414,F2 V              
121415,F5 V              
121416,K1 III           
121417,K0/2 (III)       
121418,F6/8            
121419,B9 IV           
121420,K2/3 III          
121421,K2 III            
121422,K0 III            
121423,K5 III            
121424,F3/5 IV           
121425,A3 III            
121426,K0 III            
121427,F5 V              
121428,G5                
121429,K0 III            
121430,A5 IV            
121431,F0 V             
121432,B8 IV/V         
121433,A2 IV           
121434,B8              
121435,B9              
121436,A1/2 V          
121437,A0 V            
121438,A9 V            
121439,B9 III          
121440,K2 III            
121441,G5/6 V            
121442,K4 III            
121443,K0 (V)            
121444,A5/7 II           
121445,G8 IV             
121446,A2 IV             
121447,KP BA             
121448,A9 V              
121449,K3 III            
121450,K1 III/IV         
121451,K0 III            
121452,F3 V              
121453,G1/3 V          
121454,G3 III/IV       
121455,B9.5 V          
121456,F8/G0 V         
121460,F3/5 V            
121461,G8 III/IV         
121462,G8/K0 (IV)        
121463,F5 V              
121464,G3 V              
121465,F5 V              
121466,K0 III + A(7)     
121467,K0/1 (III)        
121468,A9 V              
121469,F7 V              
121470,K0 (III)         
121471,K1 (III)         
121472,B9 IV/V         
121473,A1/3 III/IV     
121474,K0 III          
121475,B9 VN           
121479,A3 II             
121480,K1 (III)          
121481,K5 III            
121482,F2 V              
121483,B2/3 IV          
121484,F5 IV            
121485,K1 III           
121486,A2              
121487,G8/K0 III       
121488,B8/9 II         
121489,A3/5 IV/V       
121495,G8/K0 (III)       
121496,F6/7 V            
121497,F6/7 V            
121498,A1MA8-A8/9        
121499,A9 V              
121500,K0 III            
121501,G0 V             
121502,K0/1 III + F     
121503,A7 IV/V          
121504,G2 V            
121505,B9 III/IV       
121506,B7 III          
121507,B9 V            
121508,A6/8 V          
121509,A               
121510,K0/1 III        
121511,A1/3 (V)        
121513,A2 V              
121514,K1 III           
121515,K0 III           
121516,G8/K0 IV + F/G   
121517,A9/F0 IV/V       
121518,M3 IAB/B        
121519,A               
121520,B8 III          
121521,A9 IV/V         
121523,K4 III            
121524,K0 III            
121525,K2 (III)          
121526,F0 V              
121527,K2 III            
121528,F0 V             
121529,F3/5 V           
121530,K1/3            
121531,B2/3 III        
121532,F0 V            
121535,F6 V              
121536,F6 V              
121537,F/G + (F)         
121538,B9 III/IV         
121539,K5 III            
121540,K0 III           
121541,A3/5 II/III      
121542,G6 IV            
121543,F8/G2 (IV)      
121544,A2/3 V          
121545,F7 V            
121546,A3/5 II           
121547,G8/K0 IV          
121548,K1 III            
121549,A3 V              
121550,G8/K0 V           
121551,K0 III            
121552,G8 V              
121553,B9.5 V           
121554,K2/3 (III)      
121555,B6/7 V          
121556,B5 (V)N         
121557,K0 III          
121558,A3 V            
121563,F6 V              
121564,G8/K0 (III)       
121565,K4/5              
121566,G8 II/IIICNIII/IV 
121567,F5/6 V           
121568,A7 V             
121569,K1/2 (III)       
121570,A2 IV/V          
121571,A0              
121572,F0 V            
121573,F7/8            
121574,K0 III          
121576,G6 V              
121577,F3 V              
121578,M3 III            
121579,F3 V              
121580,M3 (III)         
121581,A0 V             
121582,M0/1 (III)       
121583,B9 II/III(P SI) 
121584,B3 III          
121588,K1 (III)          
121589,F3/5 IV/V         
121590,K0 III            
121591,A9 V              
121592,F2 V              
121593,K0/1 III          
121594,A8/9 V            
121595,A9 V              
121596,K3 III            
121597,F5 V             
121598,A1 V             
121599,A0 V             
121600,F0 IV           
121601,G5 V            
121602,A0 IV/V         
121606,K0 III            
121607,A5 IV/V           
121608,G0 V              
121609,F0 V              
121610,G2 V              
121611,B9.5 V            
121612,G8 IV             
121613,K0 III            
121614,F2 V              
121615,A1/2 V            
121616,A5 V              
121617,A1 V             
121618,K0 III           
121619,K0/1 III         
121620,G6/8 III        
121621,A0 IV/V         
121622,B9.5 V          
121627,K1/2 III          
121628,K0 (III)          
121629,K2 V              
121630,F3 V              
121631,A2 IV             
121632,G8/K0 V           
121633,F2 V              
121634,K0 III            
121635,K0 III            
121636,G8 IV            
121637,F6/7 V           
121638,G8/K0 III        
121639,B9 III           
121640,A9/F0 IV/V       
121641,A0 V            
121642,B5/7 III        
121643,A2/3 IV         
121644,G8/K1 (III)     
121645,K4 III          
121649,G0/2 V            
121650,G5 V              
121651,F3/5 V            
121652,K1 III            
121653,K3 III            
121654,F3 V              
121655,F3 V              
121656,G0 V             
121657,A0 V             
121658,C               
121659,A0/1 IV/V       
121660,K2/3 (III)      
121661,AP EUCR(SR)     
121662,B2/3 IV         
121663,A1 V            
121665,A5 IV             
121666,F5 IV             
121667,K0 (III)          
121668,G5                
121669,F3 V              
121670,F2 V              
121671,G8 IVCNIII        
121672,G8/K0 V           
121673,G8/K0 IV          
121674,K1 III            
121675,AP CREUSR(PEC)   
121676,F6 V             
121677,F3/5 V          
121678,G3 V(W)         
121679,B9.5 III/IV     
121680,B8/9 III/IV     
121684,G8 III/IV         
121685,F7/G1 V + G/K     
121686,A1MA5-A8/9        
121687,G5 V              
121688,K0 V              
121689,F0 V              
121690,K1 III            
121691,K1 III            
121692,A1 V             
121693,A0/1 V          
121694,A0 V            
121697,G8 IV             
121698,A2MF2-F2          
121699,K2/3 III          
121700,G3 V              
121701,A3 IV            
121702,B9 V             
121703,A2/3 IV          
121704,K2/3 V          
121705,A0 V            
121706,K1/2            
121707,G8/K0 III       
121708,K3 III          
121709,A2 V            
121714,M4E               
121715,F0 IV            
121716,B9.5 V           
121717,B9 III          
121718,B8/9 III        
121719,B8/9 III/IV     
121720,F0 IV           
121721,B8 III          
121722,F7 V            
121723,K1 III          
121724,K3/4 (III)      
121729,F3 V              
121730,K0 III            
121731,A9 V              
121732,K0/1 III          
121733,A9 V              
121734,F6/7 V           
121735,A0 V             
121736,B3/5 (V)        
121737,F8/G2           
121738,A0 V            
121741,F3 V              
121742,K0 III            
121743,B2 V             
121744,K1 III           
121745,K1 III           
121746,F5 IV/V          
121747,A1 V             
121748,A5 V + G8/K1 III 
121749,G5/K0 III + (F)  
121750,G2/3 V          
121751,A1 III/IV       
121752,B9 V            
121753,A0 V            
121755,F6 V              
121756,F8 V              
121757,A2 V              
121758,K1 III            
121759,G6 III/IV         
121760,G8 III/IV         
121761,G8 III           
121762,A8/F0 (V)       
121766,F3 IV             
121767,K1 III/IV         
121768,F6 V              
121769,K2 III            
121770,A1/2 IV/V        
121771,K2 (III)         
121772,M3/4            
121773,K2/3 (III)      
121774,A5 V            
121775,F0              
121776,B8/9 V          
121777,K0 III          
121782,K0/1              
121783,F8 V              
121784,A7 V              
121785,A9/F0 IV/V        
121786,F6 V              
121787,G8 V              
121788,AP (SRCR)         
121789,A9 V + F         
121790,B2 IV/V          
121791,F2 V             
121792,B9 III          
121793,B8/9 V          
121794,A1 V            
121795,AP SI           
121796,A1 IV           
121797,M1 III          
121798,A0 V            
121799,A4/5 V          
121802,F7 V              
121803,B8 IV/V          
121804,M0/1 III         
121805,K3/4 III         
121806,F0 IV            
121807,B8/9 III        
121808,A3 IV           
121809,K0 III          
121810,B9 IV           
121814,K1 III            
121815,M0 III            
121816,G5 V              
121817,G6 V              
121818,B9 V             
121819,F0 IV/V          
121820,F5 V             
121821,B9 V             
121822,B9.5 V          
121823,B8 II           
121830,F3 V              
121831,F3 V              
121832,K1 (III)          
121833,K2 III            
121834,A3 III           
121835,F5 V             
121836,A1 V            
121837,B9/A1 (V)       
121838,K0/2 (III)      
121839,B8/9 II         
121840,AP EUCR(SR)     
121841,B8 II/III(P SI) 
121846,G1/2 V            
121847,B8 V              
121848,F8 IV             
121849,G5 V              
121850,K3 III            
121851,K2/3 III         
121852,F8 V             
121853,G8/K0 III        
121854,A2MA7-A8         
121855,G5/6 III/IV     
121856,A0 V            
121857,B7 II           
121858,A0              
121863,K0                
121864,G1/2 V            
121865,K0 III/IV         
121866,F5 V              
121867,G2 V              
121868,K2/3 III          
121869,G8/K0 III/IV      
121870,M4 III            
121871,F5 V             
121872,A0/1 V           
121873,F6/8            
121874,F5 V            
121875,A2 IV           
121876,F3/5 V          
121877,B9/A0 IV/V      
121878,B9 V            
121881,K2 III            
121882,F3 V              
121883,K0 III            
121884,A0 V              
121885,G8 III            
121886,F(6) V            
121887,F3 V              
121888,K1/2 III          
121889,F0 V              
121890,K1 III            
121891,A7 IV/V         
121893,K0/1 (III)        
121894,F0 V              
121895,F6 V              
121896,K1 III            
121897,K1/2 (III)       
121898,K3/4 III         
121899,B8 V             
121900,A2              
121901,F0/2 III/IV     
121902,F5 V            
121903,B8 II           
121904,A3/4 IV         
121905,F7 V            
121908,G1/2 V            
121909,F6/8 V            
121910,F5/6 V            
121911,G8 IV             
121912,F3 V              
121913,K2/3 III         
121914,G8/K0 III        
121915,F0 IV/V          
121916,G8/K1 (III)     
121917,A0 IV           
121918,A2/5 (V)        
121919,A2 V            
121925,K2 III            
121926,K0 III            
121927,F0 V             
121928,K5/M0            
121929,F5 IV/V          
121930,K4 III           
121931,F5 IV/V         
121932,F2 III          
121935,G3/5              
121936,G0                
121937,G5 V              
121938,F3 V              
121939,K1/2 (III)        
121940,G0 V              
121941,K1 III/IV         
121942,K2 III            
121943,F7 V            
121944,A3/5 II/III     
121945,F0 IV/V         
121946,A2 III/IV       
121947,B8 III          
121948,B9 II/III       
121949,G8 III          
121950,F0/3 IV/V       
121951,G8 III          
121957,K0 III            
121958,F5 V              
121959,F5 V              
121960,F3 V              
121961,F0 V              
121962,F0 V              
121963,K2 III           
121964,A0               
121965,B8/9 IV/V       
121968,B2 II             
121969,G0 V              
121970,F6 V              
121971,K5 III            
121972,K2 III            
121973,A3 IV            
121974,G6/8 IV          
121975,B9/A0 III       
