Star,RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 160762,17 39 27.889, +46 00 22.74,B3V,3.799,4.349,4.228,0.31,0.01,"Challouf et al. 2014, A&A, 570, A104",VEGA
HD 162003,17 41 56.353, +72 08 56.13,F5IV-V,4.559,3.648,3.502,0.949,0.026,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
GJ 699,17 57 48.498, +04 41 36.21,M4V,9.511,4.83,4.524,0.952,0.005,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 164259,18 00 28.995,-03 41 25.09,F3V,4.62,3.665,3.639,0.775,0.027,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
GJ 702A,18 05 27.355, +02 29 58.59,K0V,4.085,1.876,1.791,1.515,0.005,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
GJ 702B,18 05 27.421, +02 29 56.42,K5V,6.163,,,1.221,0.015,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 167042,18 10 31.665, +54 17 11.45,K1III,5.965,3.557,3.55,1.056,0.014,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 168151,18 13 53.827, +64 23 50.20,F5V,4.992,4.059,3.944,0.713,0.009,"Boyajian et al. 2013, ApJ, 771, 40",CLASSIC
HD 168151,18 13 53.827, +64 23 50.20,F5V,4.992,4.059,3.944,0.664,0.015,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 170693,18 25 59.160, +65 33 48.65,K2III,4.822,2.197,2.085,2.097,0.009,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 173701,,,,,,,0.332,0.006,"Huber et al. 2012, ApJ, 760, 32",PAVO
HD 175726,,,,,,,0.346,0.007,"Huber et al. 2012, ApJ, 760, 32",PAVO
HD 177153,,,,,,,0.289,0.006,"Huber et al. 2012, ApJ, 760, 32",PAVO
HD 181420,,,,,,,0.34,0.01,"Huber et al. 2012, ApJ, 760, 32",PAVO
HD 182736,,,,,,,0.436,0.005,"Huber et al. 2012, ApJ, 760, 32",PAVO
HD 187637,,,,,,,0.231,0.006,"Huber et al. 2012, ApJ, 760, 32",PAVO
HD 175955,,,,,,,0.68,0.01,"Huber et al. 2012, ApJ, 760, 32",PAVO
HD 177151,,,,,,,0.57,0.01,"Huber et al. 2012, ApJ, 760, 32",PAVO
HD 181827,,,,,,,0.473,0.005,"Huber et al. 2012, ApJ, 760, 32",PAVO
HD 189349,,,,,,,0.42,0.006,"Huber et al. 2012, ApJ, 760, 32",PAVO
GJ 725A,18 42 46.663, +59 37 49.93,M3V,4.741,4.741,4.432,0.937,0.008,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
GJ 725B,18 42 46.885, +59 37 37.42,M3.5V,5.197,5.197,5,0.851,0.015,"Boyajian et al. 2012, ApJ, 757, 112",CLASSIC
HD 173416,18 43 36.104, +36 33 23.78,K0,6.045,3.929,3.814,0.995,0.034,"Ligi et al. 2016, A&A, 586, A94",VEGA
HD 173667,18 45 39.729, +20 32 46.64,F6V,4.202,3.286,3.19,1,0.006,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 176437,18 58 56.634, +32 41 22.24,B9III,3.243,3.227,3.122,0.753,0.009,"Maestro et al. 2013, MNRAS, 434, 1321",PAVO
HD 176437,18 58 56.634, +32 41 22.24,B9III,3.243,3.227,3.122,0.766,0.01,"Challouf et al. 2014, A&A, 570, A104",VEGA
HD 177724,19 05 24.619, +13 51 48.63,A0Vn,2.98,3.048,2.876,0.895,0.017,"Boyajian et al. 2012, ApJ, 746, 101",CLASSIC
HD 177756,19 06 14.940,-04 52 57.18,B9Vn,3.427,3.477,3.564,0.544,0.003,"Challouf et al. 2014, A&A, 570, A104",VEGA
